1,0,0
2,1,0
3,5,0
4,3,2
5,2,1
6,0,5
7,1,1
8,3,0
9,1,0
10,0,2
11,1,3
12,2,0
13,2,2
14,3,2
15,1,1
16,0,2
17,0,0
18,3,0
19,3,0
20,1,1
21,4,2
22,0,2
23,3,1
24,1,1
25,2,3
26,2,2
27,1,1
28,2,0
29,3,0
30,2,2
31,6,1
32,2,0
33,2,2
34,3,0
35,4,0
36,0,0
37,0,0
38,1,3
39,1,1
40,1,1
41,1,0
42,1,2
43,1,1
44,1,0
45,4,1
46,0,3
47,2,1
48,1,0
49,1,1
50,1,2
51,1,2
52,1,1
53,3,1
54,1,2
55,2,3
56,2,5
57,1,2
58,2,2
59,2,0
60,1,0
61,4,1
62,0,0
63,3,0
64,0,3
65,2,2
66,2,2
67,2,0
68,3,2
69,1,3
70,2,2
71,1,0
72,1,0
73,4,2
74,1,0
75,1,1
76,1,1
77,2,1
78,2,4
79,1,2
80,4,1
81,1,0
82,1,1
83,2,3
84,2,2
85,1,0
86,2,1
87,3,3
88,1,2
89,0,0
90,2,1
91,2,2
92,1,1
93,2,1
94,1,0
95,1,1
96,0,1
97,1,1
98,0,1
99,2,0
100,0,0
101,3,3
102,2,3
103,1,1
104,2,1
105,2,1
106,0,1
107,0,0
108,1,1
109,1,0
110,1,2
111,5,2
112,1,3
113,3,0
114,5,0
115,1,2
116,1,0
117,1,3
118,2,1
119,2,1
120,1,1
121,0,0
122,0,0
123,1,1
124,3,1
125,2,0
126,1,0
127,2,4
128,0,0
129,3,1
130,3,2
131,1,0
132,1,0
133,1,1
134,2,1
135,0,0
136,3,1
137,2,1
138,0,2
139,0,0
140,1,1
141,0,2
142,0,3
143,1,0
144,1,1
145,3,0
146,2,1
147,1,1
148,3,4
149,0,1
150,3,1
151,2,0
152,0,0
153,2,1
154,2,1
155,2,3
156,1,0
157,1,3
158,3,4
159,2,3
160,2,2
161,2,2
162,1,3
163,3,1
164,1,3
165,2,1
166,2,1
167,2,5
168,1,1
169,1,0
170,0,0
171,8,0
172,4,0
173,1,0
174,1,0
175,0,1
176,1,1
177,0,0
178,2,1
179,1,2
180,0,1
181,5,1
182,0,4
183,2,1
184,1,1
185,4,3
186,0,1
187,1,2
188,0,0
189,3,1
190,1,0
191,7,3
192,0,3
193,1,2
194,1,2
195,2,0
196,3,4
197,0,3
198,1,0
199,3,3
200,1,2
201,0,1
202,3,0
203,3,0
204,1,2
205,1,1
206,2,2
207,3,1
208,1,2
209,2,1
210,0,4
211,0,2
212,0,1
213,0,0
214,1,1
215,2,1
216,0,0
217,0,0
218,3,2
219,0,4
220,3,0
221,2,1
222,5,0
223,2,0
224,1,2
225,0,0
226,3,1
227,1,1
228,2,2
229,1,1
230,2,3
231,2,2
232,1,2
233,2,1
234,1,1
235,0,0
236,2,2
237,2,2
238,0,0
239,2,1
240,3,1
241,1,0
242,3,3
243,0,1
244,2,2
245,3,2
246,0,0
247,2,1
248,0,1
249,1,0
250,2,2
251,2,1
252,4,1
253,0,2
254,2,0
255,0,0
256,3,1
257,2,1
258,0,1
259,4,1
260,2,1
261,2,1
262,1,0
263,5,0
264,2,0
265,4,2
266,2,1
267,0,2
268,0,3
269,2,1
270,2,3
271,2,1
272,2,0
