1,1,2
2,3,4
3,5,6
4,7,8
5,9,10
6,11,12
7,13,14
8,15,16
9,17,18
10,19,20
11,18,3
12,20,9
13,16,7
14,4,5
15,6,11
16,8,19
17,14,1
18,2,13
19,12,17
20,10,15
21,20,13
22,16,1
23,7,11
24,9,18
25,8,4
26,12,2
27,10,6
28,15,3
29,17,5
30,19,14
31,1,8
32,18,12
33,3,9
34,5,15
35,4,19
36,6,17
37,11,20
38,13,10
39,14,7
40,2,16
41,20,14
42,16,4
43,7,1
44,9,6
45,8,18
46,12,3
47,10,11
48,15,13
49,17,2
50,19,5
51,1,20
52,18,15
53,3,8
54,5,7
55,4,10
56,6,16
57,11,17
58,13,9
59,14,12
60,2,19
61,20,6
62,16,14
63,7,2
64,9,4
65,8,5
66,12,13
67,10,18
68,15,11
69,17,1
70,19,3
71,5,18
72,16,13
73,4,14
74,6,1
75,11,3
76,2,9
77,12,19
78,10,20
79,15,7
80,17,8
81,1,11
82,18,6
83,20,4
84,3,16
85,7,12
86,9,15
87,13,5
88,8,10
89,14,2
90,19,17
91,5,3
92,16,9
93,4,1
94,6,14
95,11,13
96,2,18
97,12,20
98,10,19
99,15,8
100,17,7
101,1,5
102,18,4
103,20,16
104,3,2
105,7,10
106,9,17
107,13,6
108,8,12
109,14,11
110,19,15
111,1,10
112,5,2
113,16,19
114,7,18
115,9,12
116,6,4
117,11,8
118,13,3
119,15,20
120,17,14
121,18,1
122,20,7
123,3,6
124,4,11
125,8,9
126,14,5
127,2,15
128,12,16
129,10,17
130,19,13
131,18,13
132,4,17
133,8,6
134,14,9
135,2,11
136,12,15
137,10,16
138,19,7
139,20,5
140,3,1
141,1,12
142,5,10
143,16,8
144,7,3
145,9,19
146,6,2
147,11,18
148,13,4
149,15,14
150,17,20
151,1,15
152,18,14
153,3,10
154,5,9
155,7,4
156,8,13
157,2,20
158,12,6
159,17,16
160,19,11
161,20,8
162,16,18
163,4,2
164,9,7
165,6,19
166,11,5
167,13,1
168,14,3
169,10,12
170,15,17
171,20,18
172,16,5
173,7,13
174,9,11
175,8,2
176,12,4
177,10,14
178,15,6
179,17,3
180,19,1
181,1,17
182,18,10
183,3,19
184,5,8
185,4,9
186,6,20
187,11,15
188,13,12
189,14,16
190,2,7
191,1,9
192,18,19
193,3,20
194,5,12
195,4,15
196,6,7
197,11,16
198,13,17
199,14,8
200,2,10
201,20,11
202,16,2
203,7,14
204,9,3
205,8,1
206,12,18
207,10,13
208,15,5
209,17,6
210,19,4
211,1,7
212,18,8
213,3,12
214,5,19
215,4,16
216,6,9
217,11,10
218,13,15
219,14,20
220,2,17
221,20,1
222,16,6
223,7,5
224,9,13
225,8,3
226,12,14
227,10,4
228,15,18
229,17,11
230,19,2
231,1,16
232,18,9
233,4,8
234,6,10
235,11,7
236,13,20
237,14,19
238,2,12
239,3,15
240,5,17
241,1,14
242,3,18
243,5,4
244,7,16
245,9,20
246,11,6
247,13,2
248,15,10
249,17,12
250,19,8
251,18,17
252,20,19
253,16,15
254,4,3
255,6,5
256,8,7
257,14,13
258,2,1
259,12,11
260,10,9
261,1,18
262,5,14
263,16,12
264,7,20
265,9,8
266,6,3
267,11,4
268,13,19
269,15,2
270,17,10
271,18,7
272,20,15
273,3,13
274,4,6
275,8,11
276,14,17
277,2,5
278,12,9
279,10,1
280,19,16
281,1,3
282,5,20
283,16,10
284,7,19
285,9,14
286,6,8
287,11,2
288,13,18
289,15,12
290,17,4
291,18,11
292,20,17
293,3,7
294,4,13
295,8,16
296,14,15
297,2,6
298,12,1
299,10,5
300,19,9
301,1,13
302,18,16
303,3,14
304,5,11
305,7,9
306,8,20
307,2,4
308,12,10
309,17,15
310,19,6
311,20,2
312,16,17
313,4,7
314,9,5
315,6,12
316,11,19
317,13,8
318,14,18
319,10,3
320,15,1
321,1,6
322,18,5
323,20,10
324,3,11
325,7,15
326,9,2
327,13,16
328,8,17
329,14,4
330,19,12
331,5,1
332,16,20
333,4,18
334,6,13
335,11,14
336,2,3
337,12,8
338,10,7
339,15,9
340,17,19
341,1,4
342,18,2
343,20,12
344,3,5
345,7,17
346,9,16
347,13,11
348,8,15
349,14,6
350,19,10
351,5,13
352,16,3
353,4,20
354,6,18
355,11,1
356,2,14
357,12,7
358,10,8
359,15,19
360,17,9
361,1,19
362,18,20
363,3,17
364,5,16
365,4,12
366,6,15
367,11,9
368,13,7
369,14,10
370,2,8
371,20,3
372,16,11
373,7,6
374,9,1
375,8,14
376,12,5
377,10,2
378,15,4
379,17,13
380,19,18
